section,key,value,name,description,category,minYears,achieved,badgeIcon,proficiency,isRequired,seniority,objective,minDegree,preferredFields,certifications
role,,Customer & Technical Support Team Lead,,,,,,,,,JG2-JG3 equivalent,Support Paladin,,,
attribute,problemSolving,85,,,,,,,,,,,,
attribute,stakeholderManagement,90,,,,,,,,,,,,
attribute,technicalExpertise,75,,,,,,,,,,,,
attribute,leadership,80,,,,,,,,,,,,
attribute,customerFocus,95,,,,,,,,,,,,
attribute,adaptability,85,,,,,,,,,,,,
experience,,,Team Management,Led cross-functional support team,Leadership,3,true,Users,,,,,,
experience,,,Customer Support Systems,Experience with CRM and ticketing systems,Technical,5,true,Headphones,,,,,,
experience,,,Process Improvement,Implemented operational efficiency initiatives,Operations,2,false,TrendingUp,,,,,,
experience,,,Change Management,Guided teams through organizational transformation,Leadership,2,false,RefreshCw,,,,,,
experience,,,Multilingual Support,Provided support in multiple languages,Technical,3,true,Languages,,,,,,
experience,,,Data-Driven Decision Making,Used analytics to drive support improvements,Analytics,2,true,BarChart3,,,,,,
tool,,,Email Support,,Communication,,,,,95,true,,,,
tool,,,Phone Support,,Communication,,,,,90,true,,,,
tool,,,Chat Support,,Communication,,,,,85,false,,,,
tool,,,KPI Dashboard,,Analytics,,,,,80,true,,,,
tool,,,Customer Satisfaction Surveys,,Analytics,,,,,75,true,,,,
tool,,,CRM System,,Technical,,,,,85,true,,,,
tool,,,Ticketing System,,Technical,,,,,90,true,,,,
tool,,,Knowledge Base Management,,Technical,,,,,70,false,,,,
academic,,,,,,,,,,,,,"Bachelor's Degree","Business Administration;Communications;Computer Science","ITIL;Customer Service Excellence"
motivation,,Career advancement,,,,,,,,,,,,,
motivation,,Creating something new from the ground up,,,,,,,,,,,,,
motivation,,Solving complex problems,,,,,,,,,,,,,
motivation,,Building team morale,,,,,,,,,,,,,
painpoint,,Limited control over recruitment,,,,,,,,,,,,,
painpoint,,Slow decision-making processes,,,,,,,,,,,,,
painpoint,,Need for more advancement opportunities,,,,,,,,,,,,,
week,,"Monday: Team all-hands, review weekend inquiries, allocate resources",,,,,,,,,,,,,
week,,"Tuesday-Thursday: Client operations, team coaching, stakeholder meetings",,,,,,,,,,,,,
week,,"Friday: Week review, prioritization planning, continuous improvement",,,,,,,,,,,,,
